,Unnamed: 0,Filepath Deg,Filename,db,MOS,Condition,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Filepath Ref,ssim,brisque
1,1,.\Deg\bike_jp2420_0.250000_dec.bmp,bike_jp2420_0.250000_dec.bmp,JPEGCoreExperiment,18.69230769,1,30,0,48,18,30,20,4,29,1,25,42,16,52,23,28,19,.\Original\bike_orig.bmp,0.765372579,109.825
2,2,.\Deg\bike_jp2420_0.500000_dec.bmp,bike_jp2420_0.500000_dec.bmp,JPEGCoreExperiment,43.46153846,2,40,40,71,39,60,55,32,45,38,52,53,62,64,42,35,25,.\Original\bike_orig.bmp,0.847333203,107.551
3,3,.\Deg\bike_jp2420_0.750000_dec.bmp,bike_jp2420_0.750000_dec.bmp,JPEGCoreExperiment,63.0,3,50,68,69,70,79,71,47,46,72,68,62,82,87,53,80,33,.\Original\bike_orig.bmp,0.887800903,106.736
4,4,.\Deg\bike_jp2420_1.000000_dec.bmp,bike_jp2420_1.000000_dec.bmp,JPEGCoreExperiment,69.38461538,4,68,51,71,79,70,64,74,72,100,78,95,66,89,53,65,62,.\Original\bike_orig.bmp,0.918538952,106.266
5,5,.\Deg\bike_jp2420_1.250000_dec.bmp,bike_jp2420_1.250000_dec.bmp,JPEGCoreExperiment,90.92307692,5,95,84,100,100,100,76,91,100,100,97,100,88,100,95,90,66,.\Original\bike_orig.bmp,0.937661551,105.964
6,6,.\Deg\bike_jp2420_1.500000_dec.bmp,bike_jp2420_1.500000_dec.bmp,JPEGCoreExperiment,91.92307692,6,100,84,100,100,100,100,95,77,100,100,100,93,100,70,100,76,.\Original\bike_orig.bmp,0.951387909,105.851
7,7,.\Deg\bike_jp2444_0.250000_dec.bmp,bike_jp2444_0.250000_dec.bmp,JPEGCoreExperiment,32.61538462,7,30,24,32,59,44,27,16,29,25,17,37,53,54,23,55,22,.\Original\bike_orig.bmp,0.771354182,109.581
8,8,.\Deg\bike_jp2444_0.500000_dec.bmp,bike_jp2444_0.500000_dec.bmp,JPEGCoreExperiment,49.92307692,8,60,43,49,74,60,37,53,56,47,38,75,64,78,45,29,43,.\Original\bike_orig.bmp,0.843953047,109.144
9,9,.\Deg\bike_jp2444_0.750000_dec.bmp,bike_jp2444_0.750000_dec.bmp,JPEGCoreExperiment,76.46153846,9,70,70,69,100,88,80,82,63,46,75,74,100,76,69,85,66,.\Original\bike_orig.bmp,0.883145579,107.71
10,10,.\Deg\bike_jp2444_1.000000_dec.bmp,bike_jp2444_1.000000_dec.bmp,JPEGCoreExperiment,76.53846154,10,70,64,70,100,75,75,59,100,50,83,82,100,100,78,71,70,.\Original\bike_orig.bmp,0.90670575,107.003
11,11,.\Deg\bike_jp2444_1.250000_dec.bmp,bike_jp2444_1.250000_dec.bmp,JPEGCoreExperiment,88.46153846,11,100,83,71,100,100,79,100,70,80,82,84,95,100,94,93,74,.\Original\bike_orig.bmp,0.92689831,106.72
12,12,.\Deg\bike_jp2444_1.500000_dec.bmp,bike_jp2444_1.500000_dec.bmp,JPEGCoreExperiment,91.76923077,12,95,68,100,100,100,90,98,100,100,99,100,93,100,79,100,71,.\Original\bike_orig.bmp,0.939277971,106.184
13,13,.\Deg\bike_jpg420_0.250000_dec.bmp,bike_jpg420_0.250000_dec.bmp,JPEGCoreExperiment,5.153846154,13,10,10,13,11,3,2,1,10,2,1,7,9,3,8,0,0,.\Original\bike_orig.bmp,0.68141276,108.598
14,14,.\Deg\bike_jpg420_0.500000_dec.bmp,bike_jpg420_0.500000_dec.bmp,JPEGCoreExperiment,36.15384615,14,48,31,50,74,46,33,34,31,10,34,54,54,51,22,23,30,.\Original\bike_orig.bmp,0.806701799,106.727
15,15,.\Deg\bike_jpg420_0.750000_dec.bmp,bike_jpg420_0.750000_dec.bmp,JPEGCoreExperiment,71.38461538,15,87,56,71,100,71,39,100,73,50,76,82,88,89,41,86,61,.\Original\bike_orig.bmp,0.86538756,106.27
16,16,.\Deg\bike_jpg420_1.000000_dec.bmp,bike_jpg420_1.000000_dec.bmp,JPEGCoreExperiment,83.53846154,16,70,84,70,100,69,100,93,77,95,59,66,100,100,86,76,77,.\Original\bike_orig.bmp,0.896984697,106.013
17,17,.\Deg\bike_jpg420_1.250000_dec.bmp,bike_jpg420_1.250000_dec.bmp,JPEGCoreExperiment,96.69230769,17,95,100,74,100,100,100,80,100,100,100,91,100,100,100,100,82,.\Original\bike_orig.bmp,0.916561353,105.598
18,18,.\Deg\bike_jpg420_1.500000_dec.bmp,bike_jpg420_1.500000_dec.bmp,JPEGCoreExperiment,93.15384615,18,100,100,100,100,100,94,100,78,88,90,84,100,100,96,100,65,.\Original\bike_orig.bmp,0.932350967,105.488
19,19,.\Deg\bike_xrMS420_0.250000_dec.bmp,bike_xrMS420_0.250000_dec.bmp,JPEGCoreExperiment,17.53846154,19,30,10,31,10,15,25,6,9,25,2,19,40,39,25,17,14,.\Original\bike_orig.bmp,0.74977214,109.126
20,20,.\Deg\bike_xrMS420_0.500000_dec.bmp,bike_xrMS420_0.500000_dec.bmp,JPEGCoreExperiment,45.69230769,20,50,37,50,59,55,37,18,53,55,16,53,64,56,47,75,28,.\Original\bike_orig.bmp,0.838822581,107.165
21,21,.\Deg\bike_xrMS420_0.750000_dec.bmp,bike_xrMS420_0.750000_dec.bmp,JPEGCoreExperiment,63.76923077,21,56,48,68,94,69,59,67,55,67,57,73,76,74,49,78,54,.\Original\bike_orig.bmp,0.892757486,106.197
22,22,.\Deg\bike_xrMS420_1.000000_dec.bmp,bike_xrMS420_1.000000_dec.bmp,JPEGCoreExperiment,84.30769231,22,100,100,73,93,91,64,100,75,77,62,73,98,100,83,81,72,.\Original\bike_orig.bmp,0.920026273,106.065
23,23,.\Deg\bike_xrMS420_1.250000_dec.bmp,bike_xrMS420_1.250000_dec.bmp,JPEGCoreExperiment,85.07692308,23,95,82,71,100,75,61,93,100,50,97,81,100,69,79,100,74,.\Original\bike_orig.bmp,0.936799824,105.858
24,24,.\Deg\bike_xrMS420_1.500000_dec.bmp,bike_xrMS420_1.500000_dec.bmp,JPEGCoreExperiment,87.38461538,24,100,70,71,100,74,74,95,75,97,87,80,84,100,95,96,89,.\Original\bike_orig.bmp,0.950960251,105.794
25,25,.\Deg\bike_xrPS420_0.25.bmp,bike_xrPS420_0.25.bmp,JPEGCoreExperiment,14.92307692,25,30,0,48,29,15,11,5,13,2,17,25,56,31,9,0,7,.\Original\bike_orig.bmp,0.755647733,108.394
26,26,.\Deg\bike_xrPS420_0.5.bmp,bike_xrPS420_0.5.bmp,JPEGCoreExperiment,43.15384615,26,50,36,49,87,57,37,40,55,25,40,46,50,71,38,20,26,.\Original\bike_orig.bmp,0.838258219,107.298
27,27,.\Deg\bike_xrPS420_0.75.bmp,bike_xrPS420_0.75.bmp,JPEGCoreExperiment,67.53846154,27,70,53,66,100,77,61,75,70,55,38,80,83,69,63,82,51,.\Original\bike_orig.bmp,0.879321909,106.821
28,28,.\Deg\bike_xrPS420_1.0.bmp,bike_xrPS420_1.0.bmp,JPEGCoreExperiment,74.38461538,28,80,68,68,86,77,58,80,71,71,78,82,95,94,67,79,57,.\Original\bike_orig.bmp,0.904758865,106.426
29,29,.\Deg\bike_xrPS420_1.25.bmp,bike_xrPS420_1.25.bmp,JPEGCoreExperiment,90.23076923,29,100,82,73,100,100,72,95,100,95,81,80,100,100,90,92,66,.\Original\bike_orig.bmp,0.922610013,106.307
30,30,.\Deg\bike_xrPS420_1.5.bmp,bike_xrPS420_1.5.bmp,JPEGCoreExperiment,91.30769231,30,95,68,72,100,100,60,100,100,98,96,96,84,100,100,100,86,.\Original\bike_orig.bmp,0.939754726,106.154
32,32,.\Deg\cafe_jp2420_0.250000_dec.bmp,cafe_jp2420_0.250000_dec.bmp,JPEGCoreExperiment,12.15384615,1,10,0,31,5,25,10,4,10,10,15,37,41,35,16,5,7,.\Original\cafe_orig.bmp,0.64619528,104.686
33,33,.\Deg\cafe_jp2420_0.500000_dec.bmp,cafe_jp2420_0.500000_dec.bmp,JPEGCoreExperiment,31.30769231,2,40,31,52,36,43,13,15,25,20,38,43,62,24,37,27,20,.\Original\cafe_orig.bmp,0.770434114,98.6656
34,34,.\Deg\cafe_jp2420_0.750000_dec.bmp,cafe_jp2420_0.750000_dec.bmp,JPEGCoreExperiment,51.53846154,3,50,64,67,60,58,42,30,52,60,55,50,70,74,52,31,46,.\Original\cafe_orig.bmp,0.836506608,95.9076
35,35,.\Deg\cafe_jp2420_1.000000_dec.bmp,cafe_jp2420_1.000000_dec.bmp,JPEGCoreExperiment,50.38461538,4,50,52,72,56,66,30,19,54,64,59,59,68,44,53,50,34,.\Original\cafe_orig.bmp,0.875020657,94.4453
36,36,.\Deg\cafe_jp2420_1.250000_dec.bmp,cafe_jp2420_1.250000_dec.bmp,JPEGCoreExperiment,61.92307692,5,50,70,71,77,62,41,74,76,55,44,62,78,97,78,58,42,.\Original\cafe_orig.bmp,0.901938001,93.575
37,37,.\Deg\cafe_jp2420_1.500000_dec.bmp,cafe_jp2420_1.500000_dec.bmp,JPEGCoreExperiment,71.38461538,6,75,71,76,78,70,48,66,52,100,78,68,84,64,79,64,63,.\Original\cafe_orig.bmp,0.918962232,93.5338
38,38,.\Deg\cafe_jp2444_0.250000_dec.bmp,cafe_jp2444_0.250000_dec.bmp,JPEGCoreExperiment,24.46153846,7,30,27,28,22,17,35,6,31,24,18,38,58,59,19,8,23,.\Original\cafe_orig.bmp,0.636364675,99.9767
39,39,.\Deg\cafe_jp2444_0.500000_dec.bmp,cafe_jp2444_0.500000_dec.bmp,JPEGCoreExperiment,43.07692308,8,40,33,51,49,67,31,8,50,42,54,53,62,47,42,53,29,.\Original\cafe_orig.bmp,0.737248063,101.137
40,40,.\Deg\cafe_jp2444_0.750000_dec.bmp,cafe_jp2444_0.750000_dec.bmp,JPEGCoreExperiment,50.61538462,9,50,53,67,65,47,48,65,56,50,23,49,71,81,64,22,44,.\Original\cafe_orig.bmp,0.799735101,100.079
41,41,.\Deg\cafe_jp2444_1.000000_dec.bmp,cafe_jp2444_1.000000_dec.bmp,JPEGCoreExperiment,68.61538462,10,70,71,73,70,68,61,56,49,74,81,70,94,76,65,75,58,.\Original\cafe_orig.bmp,0.851278189,97.3022
42,42,.\Deg\cafe_jp2444_1.250000_dec.bmp,cafe_jp2444_1.250000_dec.bmp,JPEGCoreExperiment,73.07692308,11,70,78,71,100,64,74,71,65,50,62,79,100,100,78,77,61,.\Original\cafe_orig.bmp,0.879482347,95.6088
43,43,.\Deg\cafe_jp2444_1.500000_dec.bmp,cafe_jp2444_1.500000_dec.bmp,JPEGCoreExperiment,81.53846154,12,78,70,73,100,80,100,85,63,75,68,93,100,93,78,90,73,.\Original\cafe_orig.bmp,0.907732851,94.3666
44,44,.\Deg\cafe_jpg420_0.250000_dec.bmp,cafe_jpg420_0.250000_dec.bmp,JPEGCoreExperiment,7.076923077,13,10,0,51,39,6,2,1,10,1,2,17,4,5,9,0,8,.\Original\cafe_orig.bmp,0.685420681,96.5858
45,45,.\Deg\cafe_jpg420_0.500000_dec.bmp,cafe_jpg420_0.500000_dec.bmp,JPEGCoreExperiment,12.30769231,14,10,10,48,12,13,1,4,9,10,19,15,55,17,15,0,2,.\Original\cafe_orig.bmp,0.711282149,96.0992
