metric,Bad,Excellent,population,Model DB
pcc,0.695,0.599,0.824,VISQOL_P23_EXP1
srcc,0.72,0.614,0.819,PESQ_P23_EXP3
ktau,0.533,0.443,0.626,PESQ_P23_EXP1
cci,0.89,0.841,0.908,VISQOL_P23_EXP3
wcci,0.793,0.762,0.783,VISQOL_TCD-VOIP
pcc,0.553,0.847,0.808,PESQ_TCD-VOIP
srcc,0.553,0.739,0.788,VISQOL_P23_EXP1
ktau,0.378,0.559,0.61,PESQ_P23_EXP3
cci,0.871,0.965,0.927,PESQ_P23_EXP1
wcci,0.724,0.863,0.774,VISQOL_P23_EXP3
pcc,0.774,0.719,0.838,VISQOL_TCD-VOIP
srcc,0.797,0.684,0.897,PESQ_TCD-VOIP
ktau,0.614,0.507,0.726,VISQOL_P23_EXP1
cci,0.94,0.902,0.958,PESQ_P23_EXP3
wcci,0.786,0.811,0.807,PESQ_P23_EXP1
pcc,0.489,0.603,0.746,VISQOL_P23_EXP3
srcc,0.43,0.639,0.715,VISQOL_TCD-VOIP
ktau,0.31,0.494,0.558,PESQ_TCD-VOIP
cci,0.774,0.856,0.874,VISQOL_P23_EXP1
wcci,0.677,0.782,0.751,PESQ_P23_EXP3
pcc,0.689,0.559,0.821,PESQ_P23_EXP1
srcc,0.678,0.581,0.818,VISQOL_P23_EXP3
ktau,0.496,0.413,0.627,VISQOL_TCD-VOIP
cci,0.85,0.843,0.897,PESQ_TCD-VOIP
wcci,0.726,0.757,0.764,VISQOL_P23_EXP1
pcc,0.758,0.66,0.896,PESQ_P23_EXP3
srcc,0.774,0.7,0.899,PESQ_P23_EXP1
ktau,0.592,0.503,0.719,VISQOL_P23_EXP3
cci,0.903,0.908,0.949,VISQOL_TCD-VOIP
wcci,0.789,0.8,0.828,PESQ_TCD-VOIP
